AdmArea,geoData,Name,District,Address,ID,Category,SubCategory
Центральный административный округ,"{'coordinates': [37.6832182326397, 55.76406349837], 'type': 'Point'}",МХПИ,Басманный район,"город Москва, 2-я Бауманская улица, дом 9/23, строение 3",Образование.Вузы.639894855,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6130292949733, 55.7720480467898], 'type': 'Point'}",ПСТГУ,Тверской район,"город Москва, Лихов переулок, дом 6, строение 1",Образование.Вузы.639894860,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6291499242698, 55.7654323594937], 'type': 'Point'}",Сретенская духовная семинария,Мещанский район,"город Москва, улица Большая Лубянка, дом 19, строение 3",Образование.Вузы.639894862,Образование,Вузы
Северо-Восточный административный округ,"{'coordinates': [37.6169261959747, 55.8168499479706], 'type': 'Point'}",ММА,Останкинский район,"город Москва, Новомосковская улица, дом 15А, строение 1",Образование.Вузы.639894867,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6381285679268, 55.7805725661871], 'type': 'Point'}",ИБД,Мещанский район,"город Москва, Протопоповский переулок, дом 9, строение 1",Образование.Вузы.639894871,Образование,Вузы
Северо-Восточный административный округ,"{'coordinates': [37.6064485276852, 55.8572006721549], 'type': 'Point'}",Еврейский университет,район Отрадное,"город Москва, Отрадная улица, дом 6",Образование.Вузы.639894877,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6611971232172, 55.752331478655], 'type': 'Point'}",РААН,Таганский район,"город Москва, Малый Полуярославский переулок, дом 3/5, строение 1",Образование.Вузы.639894883,Образование,Вузы
Северный административный округ,"{'coordinates': [37.5408267220201, 55.8057957089503], 'type': 'Point'}",МосАП,район Аэропорт,"город Москва, Планетная улица, дом 36",Образование.Вузы.639894884,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6375712811219, 55.7455667406936], 'type': 'Point'}",Косыгина,район Замоскворечье,"город Москва, Садовническая улица, дом 33, строение 1",Образование.Вузы.639894885,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6754706840093, 55.7630587413154], 'type': 'Point'}",МГОУ,Басманный район,"город Москва, улица Радио, дом 10А, строение 1",Образование.Вузы.639894888,Образование,Вузы
Западный административный округ,"{'coordinates': [37.4770563697458, 55.6671788731979], 'type': 'Point'}",РАНХиГС,район Тропарёво-Никулино,"город Москва, проспект Вернадского, дом 82, строение 1",Образование.Вузы.639894889,Образование,Вузы
Южный административный округ,"{'coordinates': [37.6221076942925, 55.6946146226383], 'type': 'Point'}",ИДК,Донской район,"город Москва, Варшавское шоссе, дом 23",Образование.Вузы.639894890,Образование,Вузы
Восточный административный округ,"{'coordinates': [37.69319496, 55.80264162], 'type': 'Point'}",МЭГИ,район Сокольники,"город Москва, улица Олений Вал, дом 3, строение 1",Образование.Вузы.639894891,Образование,Вузы
Северо-Западный административный округ,"{'coordinates': [37.4861072254964, 55.7937112703418], 'type': 'Point'}",Шнитке,район Щукино,"город Москва, улица Маршала Соколовского, дом 10",Образование.Вузы.639894895,Образование,Вузы
Зеленоградский административный округ,"{'coordinates': [37.2083536683801, 55.9834083067364], 'type': 'Point'}","Национальный исследовательский университет «МИЭТ», НИУ МИЭТ, МИЭТ",район Старое Крюково,"город Москва, город Зеленоград, площадь Шокина, дом 1",Образование.Вузы.639946966,Образование,Вузы
Северный административный округ,"{'coordinates': [37.5285932056449, 55.8002972190853], 'type': 'Point'}",Финуниверситет,Хорошёвский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Ленинградский проспект, дом 49/2",Образование.Вузы.639948882,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6359991640606, 55.7643616063875], 'type': 'Point'}",Академия Глазунова,Красносельский район,"город Москва, Мясницкая улица, дом 21, строение 1",Образование.Вузы.639952268,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6212066600704, 55.7605838913745], 'type': 'Point'}",ВТУ им. Щепкина,Мещанский район,"город Москва, Неглинная улица, дом 6/2, строение 1",Образование.Вузы.639952791,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6757772598342, 55.7638795230663], 'type': 'Point'}",ВИАМ,Басманный район,"город Москва, улица Радио, дом 17, корпус 1",Образование.Вузы.639954166,Образование,Вузы
Северный административный округ,"{'coordinates': [37.5217679639773, 55.7747096983912], 'type': 'Point'}",АУП,Хорошёвский район,"город Москва, 4-я Магистральная улица, дом 5, строение 2",Образование.Вузы.639954238,Образование,Вузы
Юго-Западный административный округ,"{'coordinates': [37.5614633857842, 55.6748576756672], 'type': 'Point'}",Институт стран Востока,район Черёмушки,"город Москва, Профсоюзная улица, дом 23",Образование.Вузы.639955313,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.5943048060183, 55.767412730351], 'type': 'Point'}",Военный университет,Пресненский район,"город Москва, Большая Садовая улица, дом 14, строение 1",Образование.Вузы.639956275,Образование,Вузы
Восточный административный округ,"{'coordinates': [37.7297044902064, 55.7877168487451], 'type': 'Point'}",ИЭИК,район Соколиная Гора,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Соколиная Гора, улица Ибрагимова, дом 31, корпус 1",Образование.Вузы.641374096,Образование,Вузы
Северо-Восточный административный округ,"{'coordinates': [37.6008231654015, 55.8288308588155], 'type': 'Point'}",ИТИ,район Марфино,"город Москва, Ботаническая улица, дом 21",Образование.Вузы.641374271,Образование,Вузы
